Season,Metro,MLB,NFL,NBA,NHL,MLB_teams,NFL_teams,NBA_teams,NHL_teams
2009,San Antonio,0,0,1,0,30,32,30,30
2009,Denver,1,1,1,1,30,32,30,30
2009,St. Louis,1,1,0,1,30,32,30,30
2009,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2009,Houston,1,1,1,0,30,32,30,30
2009,Toronto,1,0,1,1,30,32,30,30
2009,Washington D.C.,1,1,1,1,30,32,30,30
2009,New Jersey,0,0,1,1,30,32,30,30
2009,Anaheim,1,0,0,1,30,32,30,30
2009,Kansas City,1,1,0,0,30,32,30,30
2009,Philadelphia,1,1,1,1,30,32,30,30
2009,Baltimore,1,1,0,0,30,32,30,30
2009,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2009,Atlanta,1,1,1,1,30,32,30,30
2009,Minneapolis,1,1,1,1,30,32,30,30
2009,Phoenix,1,1,1,1,30,32,30,30
2009,Cleveland,1,1,1,0,30,32,30,30
2009,Indianapolis,0,1,1,0,30,32,30,30
2009,New Orleans,0,1,1,0,30,32,30,30
2009,Seattle,1,1,0,0,30,32,30,30
2009,Research Triangle,0,0,0,1,30,32,30,30
2009,Montreal,0,0,0,1,30,32,30,30
2009,San Diego,1,1,0,0,30,32,30,30
2009,Buffalo,0,1,0,1,30,32,30,30
2008,Boston,1,1,1,1,30,32,30,30
2008,Los Angeles,1,0,2,1,30,32,30,30
2008,Chicago,2,1,1,1,30,32,30,30
2008,New York,2,2,1,2,30,32,30,30
2008,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2008,Pittsburgh,1,1,0,1,30,32,30,30
2008,Miami,1,1,1,1,30,32,30,30
2008,Dallas,1,1,1,1,30,32,30,30
2008,Detroit,1,1,1,1,30,32,30,30
2008,San Antonio,0,0,1,0,30,32,30,30
2008,Denver,1,1,1,1,30,32,30,30
2008,St. Louis,1,1,0,1,30,32,30,30
2008,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2008,Houston,1,1,1,0,30,32,30,30
2008,Toronto,1,0,1,1,30,32,30,30
2008,Washington D.C.,1,1,1,1,30,32,30,30
2008,New Jersey,0,0,1,1,30,32,30,30
2008,Anaheim,1,0,0,1,30,32,30,30
2008,Kansas City,1,1,0,0,30,32,30,30
2008,Philadelphia,1,1,1,1,30,32,30,30
2008,Baltimore,1,1,0,0,30,32,30,30
2008,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2008,Atlanta,1,1,1,1,30,32,30,30
2008,Minneapolis,1,1,1,1,30,32,30,30
2008,Phoenix,1,1,1,1,30,32,30,30
2008,Cleveland,1,1,1,0,30,32,30,30
2008,Indianapolis,0,1,1,0,30,32,30,30
2008,New Orleans,0,1,1,0,30,32,30,30
2008,Seattle,1,1,1,0,30,32,30,30
2008,Research Triangle,0,0,0,1,30,32,30,30
2008,Montreal,0,0,0,1,30,32,30,30
2008,San Diego,1,1,0,0,30,32,30,30
2008,Buffalo,0,1,0,1,30,32,30,30
2007,Boston,1,1,1,1,30,32,30,30
2007,Los Angeles,1,0,2,1,30,32,30,30
2007,Chicago,2,1,1,1,30,32,30,30
2007,New York,2,2,1,2,30,32,30,30
2007,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2007,Pittsburgh,1,1,0,1,30,32,30,30
